STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:UKM00003334,MANCHESTER UK,20020310,104,10
GHCND:UKM00003334,MANCHESTER UK,20020311,109,-9999
GHCND:UKM00003334,MANCHESTER UK,20020312,108,-2
GHCND:UKM00003334,MANCHESTER UK,20020314,-9999,25
GHCND:UKM00003334,MANCHESTER UK,20020315,-9999,35
GHCND:UKM00003334,MANCHESTER UK,20020316,134,42
GHCND:UKM00003334,MANCHESTER UK,20020317,131,-9999
GHCND:UKM00003334,MANCHESTER UK,20020318,91,-9999
GHCND:UKM00003334,MANCHESTER UK,20020319,113,-9999
GHCND:UKM00003334,MANCHESTER UK,20020320,142,74
GHCND:UKM00003334,MANCHESTER UK,20020321,144,-9999
GHCND:UKM00003334,MANCHESTER UK,20020323,123,-9999
GHCND:UKM00003334,MANCHESTER UK,20020324,110,58
GHCND:UKM00003334,MANCHESTER UK,20020325,94,-9999
GHCND:UKM00003334,MANCHESTER UK,20020326,124,-9999
GHCND:UKM00003334,MANCHESTER UK,20020327,-9999,27
GHCND:UKM00003334,MANCHESTER UK,20020328,124,28
GHCND:UKM00003334,MANCHESTER UK,20020329,156,30
GHCND:UKM00003334,MANCHESTER UK,20020330,156,52
GHCND:UKM00003334,MANCHESTER UK,20020331,133,76
GHCND:UKM00003334,MANCHESTER UK,20020401,136,-9999
GHCND:UKM00003334,MANCHESTER UK,20020402,153,24
GHCND:UKM00003334,MANCHESTER UK,20020403,196,-9999
GHCND:UKM00003334,MANCHESTER UK,20020404,186,52
GHCND:UKM00003334,MANCHESTER UK,20020405,156,54
GHCND:UKM00003334,MANCHESTER UK,20020406,123,-9999
GHCND:UKM00003334,MANCHESTER UK,20020407,144,8
GHCND:UKM00003334,MANCHESTER UK,20020408,131,-2
GHCND:UKM00003334,MANCHESTER UK,20020409,121,-9999
GHCND:UKM00003334,MANCHESTER UK,20020410,121,47
GHCND:UKM00003334,MANCHESTER UK,20020411,125,-9999
GHCND:UKM00003334,MANCHESTER UK,20020412,116,35
GHCND:UKM00003334,MANCHESTER UK,20020413,105,16
GHCND:UKM00003334,MANCHESTER UK,20020414,100,29
GHCND:UKM00003334,MANCHESTER UK,20020416,135,2
GHCND:UKM00003334,MANCHESTER UK,20020417,145,38
GHCND:UKM00003334,MANCHESTER UK,20020418,103,49
GHCND:UKM00003334,MANCHESTER UK,20020419,144,56
GHCND:UKM00003334,MANCHESTER UK,20020420,149,64
GHCND:UKM00003334,MANCHESTER UK,20020421,-9999,97
GHCND:UKM00003334,MANCHESTER UK,20020422,168,-9999
GHCND:UKM00003334,MANCHESTER UK,20020423,171,-9999
GHCND:UKM00003334,MANCHESTER UK,20020424,188,-9999
GHCND:UKM00003334,MANCHESTER UK,20020425,144,-9999
GHCND:UKM00003334,MANCHESTER UK,20020426,114,-9999
